A8D1	SAURASHTRA DIGIT ONE
A8D2	SAURASHTRA DIGIT TWO
A8D3	SAURASHTRA DIGIT THREE
A8D4	SAURASHTRA DIGIT FOUR
A8D5	SAURASHTRA DIGIT FIVE
A8D6	SAURASHTRA DIGIT SIX
A8D7	SAURASHTRA DIGIT SEVEN
A8D8	SAURASHTRA DIGIT EIGHT
A8D9	SAURASHTRA DIGIT NINE
A8E0	COMBINING DEVANAGARI DIGIT ZERO
A8E1	COMBINING DEVANAGARI DIGIT ONE
A8E2	COMBINING DEVANAGARI DIGIT TWO
A8E3	COMBINING DEVANAGARI DIGIT THREE
A8E4	COMBINING DEVANAGARI DIGIT FOUR
A8E5	COMBINING DEVANAGARI DIGIT FIVE
A8E6	COMBINING DEVANAGARI DIGIT SIX
A8E7	COMBINING DEVANAGARI DIGIT SEVEN
A8E8	COMBINING DEVANAGARI DIGIT EIGHT
A8E9	COMBINING DEVANAGARI DIGIT NINE
A900	KAYAH LI DIGIT ZERO
A901	KAYAH LI DIGIT ONE
A902	KAYAH LI DIGIT TWO
A903	KAYAH LI DIGIT THREE
A904	KAYAH LI DIGIT FOUR
A905	KAYAH LI DIGIT FIVE
A906	KAYAH LI DIGIT SIX
A907	KAYAH LI DIGIT SEVEN
A908	KAYAH LI DIGIT EIGHT
A909	KAYAH LI DIGIT NINE
A9D0	JAVANESE DIGIT ZERO
A9D1	JAVANESE DIGIT ONE
A9D2	JAVANESE DIGIT TWO
A9D3	JAVANESE DIGIT THREE
A9D4	JAVANESE DIGIT FOUR
A9D5	JAVANESE DIGIT FIVE
A9D6	JAVANESE DIGIT SIX
A9D7	JAVANESE DIGIT SEVEN
A9D8	JAVANESE DIGIT EIGHT
A9D9	JAVANESE DIGIT NINE
A9F0	MYANMAR TAI LAING DIGIT ZERO
A9F1	MYANMAR TAI LAING DIGIT ONE
A9F2	MYANMAR TAI LAING DIGIT TWO
